attack_category,experiment,rows,python_original_text_avg_accuracy,stored_id_64_avg_accuracy,python_original_text_exact,stored_id_64_exact,python_original_text_wins,stored_id_64_wins,ties,winner
compression_blur,gaussian_blur_k3,30,94.94,94.22,27,27,3,0,27,python_original_text
compression_blur,gaussian_blur_k5,30,95.36,95.73,25,27,1,4,25,stored_id_64
compression_blur,gaussian_blur_k9,30,94.83,94.95,21,27,1,8,21,stored_id_64
compression_blur,jpeg_q45,30,60.8,55.05,0,0,22,8,0,python_original_text
compression_blur,jpeg_q60,30,97.75,98.12,10,24,6,15,9,stored_id_64
compression_blur,jpeg_q75,30,99.88,99.95,27,29,1,3,26,stored_id_64
compression_blur,jpeg_q85,30,99.88,100.0,27,30,0,3,27,stored_id_64
compression_blur,jpeg_q95,30,99.88,100.0,28,30,0,2,28,stored_id_64
rotation,rotate_neg10,30,50.94,54.69,0,0,9,21,0,stored_id_64
rotation,rotate_neg2,30,75.75,78.75,0,0,11,19,0,stored_id_64
rotation,rotate_neg5,30,55.56,57.87,0,0,12,18,0,stored_id_64
rotation,rotate_pos10,30,52.29,52.81,0,0,14,16,0,stored_id_64
rotation,rotate_pos2,30,75.65,80.16,0,0,8,22,0,stored_id_64
rotation,rotate_pos5,30,56.02,57.08,0,0,12,18,0,stored_id_64
scale_crop,crop_center_10_restore,30,53.76,54.06,0,0,13,17,0,stored_id_64
scale_crop,crop_center_25_restore,30,51.32,51.35,0,0,13,17,0,stored_id_64
scale_crop,scale_down_50_restore,30,96.06,96.77,27,27,0,3,27,stored_id_64
scale_crop,scale_down_75_restore,30,94.28,93.12,27,27,3,0,27,python_original_text
scale_crop,scale_up_125_restore,30,100.0,100.0,30,30,0,0,30,tie
scale_crop,scale_up_150_restore,30,100.0,100.0,30,30,0,0,30,tie
