image_key,payload_key,rows,python_original_text_avg_accuracy,stored_id_64_avg_accuracy,python_original_text_exact,stored_id_64_exact,python_original_text_exact_success_rate,stored_id_64_exact_success_rate,stored_id_64_false_positive_rate,stored_id_64_avg_confidence,python_original_text_wins,stored_id_64_wins,ties,winner
checker,ascii_sentence,20,82.17,84.61,11,11,55.0,55.0,0.0,0.8461,1,8,11,stored_id_64
checker,mixed_order,20,83.6,83.83,10,11,50.0,55.0,0.0,0.8383,3,7,10,stored_id_64
checker,readme_zh,20,84.3,83.44,11,11,55.0,55.0,0.0,0.8344,7,2,11,python_original_text
dark_scene,ascii_sentence,20,82.42,85.16,10,11,50.0,55.0,0.0,0.8516,3,7,10,stored_id_64
dark_scene,mixed_order,20,83.6,84.53,11,11,55.0,55.0,0.0,0.8453,4,5,11,stored_id_64
dark_scene,readme_zh,20,84.58,83.44,10,11,50.0,55.0,0.0,0.8344,8,2,10,python_original_text
geometric,ascii_sentence,20,81.42,83.98,10,11,50.0,55.0,0.0,0.8398,2,8,10,stored_id_64
geometric,mixed_order,20,83.28,83.05,9,10,45.0,50.0,0.0,0.8305,6,5,9,python_original_text
geometric,readme_zh,20,84.3,80.55,10,11,50.0,55.0,0.0,0.8055,9,1,10,python_original_text
gradient,ascii_sentence,20,79.68,81.72,9,11,45.0,55.0,0.0,0.8172,3,8,9,stored_id_64
gradient,mixed_order,20,80.29,83.05,10,11,50.0,55.0,0.0,0.8305,1,9,10,stored_id_64
gradient,readme_zh,20,81.12,80.55,11,11,55.0,55.0,0.0,0.8055,5,4,11,python_original_text
high_texture,ascii_sentence,20,65.88,65.31,2,6,10.0,30.0,0.0,0.6531,9,9,2,python_original_text
high_texture,mixed_order,20,65.3,66.09,2,6,10.0,30.0,0.0,0.6609,6,12,2,stored_id_64
high_texture,readme_zh,20,65.63,66.41,4,6,20.0,30.0,0.0,0.6641,9,7,4,stored_id_64
lena_photo,ascii_sentence,20,82.71,84.77,11,11,55.0,55.0,0.0,0.8477,1,8,11,stored_id_64
lena_photo,mixed_order,20,84.05,84.45,11,11,55.0,55.0,0.0,0.8445,4,5,11,stored_id_64
lena_photo,readme_zh,20,84.26,81.88,11,11,55.0,55.0,0.0,0.8188,7,2,11,python_original_text
low_contrast,ascii_sentence,20,82.75,86.33,10,11,50.0,55.0,0.0,0.8633,0,10,10,stored_id_64
low_contrast,mixed_order,20,84.39,85.31,9,11,45.0,55.0,0.0,0.8531,3,8,9,stored_id_64
low_contrast,readme_zh,20,84.56,84.84,10,11,50.0,55.0,0.0,0.8484,4,6,10,stored_id_64
noise_photo,ascii_sentence,20,78.44,80.78,9,11,45.0,55.0,0.0,0.8078,4,7,9,stored_id_64
noise_photo,mixed_order,20,78.57,80.39,9,11,45.0,55.0,0.0,0.8039,3,8,9,stored_id_64
noise_photo,readme_zh,20,79.7,79.06,9,11,45.0,55.0,0.0,0.7906,6,5,9,python_original_text
ori_photo,ascii_sentence,20,78.12,81.88,4,11,20.0,55.0,0.0,0.8187,2,14,4,stored_id_64
ori_photo,mixed_order,20,78.71,80.55,9,11,45.0,55.0,0.0,0.8055,3,8,9,stored_id_64
ori_photo,readme_zh,20,79.44,79.84,8,11,40.0,55.0,0.0,0.7984,5,7,8,stored_id_64
text_page,ascii_sentence,20,82.07,83.75,9,9,45.0,45.0,0.0,0.8375,4,7,9,stored_id_64
text_page,mixed_order,20,83.39,82.81,9,9,45.0,45.0,0.0,0.8281,5,6,9,python_original_text
text_page,readme_zh,20,83.44,80.78,9,10,45.0,50.0,0.0,0.8078,9,2,9,python_original_text
